codigo,producto_excel,categoria_excel,excel_qty,excel_venta,canon_qty,canon_venta,canon_qty_diff,canon_venta_diff,point_qty,point_venta,point_qty_diff,point_venta_diff,canon_producto,point_producto
03SPGCCREB,Sabor Galleta con Cajeta Rebanada,Rebanada,21,0,11,0,-10,0,21,0,0,0,Sabor Galleta con Cajeta Rebanada,Sabor Galleta con Cajeta Rebanada
03SPGREB,Sabor Guayaba Rebanada,Rebanada,93,0,35,0,-58,0,93,0,0,0,Sabor Guayaba Rebanada,Sabor Guayaba Rebanada
1125,TOPPING ZANAHORIA G,Pastel Grande,8,0,0,0,-8,0,8,0,0,0,,TOPPING ZANAHORIA G
1254,TOPPING CRUNCH MINI,Pastel Mini,129,0,0,0,-129,0,129,0,0,0,,TOPPING ZANAHORIA C
1412,TOPPING SNICKER CH,Pastel Chico,100,0,0,0,-100,0,100,0,0,0,,TOPPING SNICKER CH
21125,TOPPING CRUNCH M,Pastel Mediano,145,0,0,0,-145,0,145,0,0,0,,TOPPING CRUNCH M
21245,TOPPING 3 LECHES,Pastel Mediano,139,0,0,0,-139,0,139,0,0,0,,TOPPING 3 LECHES
21254,TOPPING SNICKER G,Pastel Grande,14,0,0,0,-14,0,14,0,0,0,,TOPPING SNICKER G
21445,TOPPING ZANAHORIA M,Pastel Mediano,144,0,0,0,-144,0,144,0,0,0,,TOPPING ZANAHORIA M
214541,TOPPING CRUNCH C,Pastel Chico,103,0,0,0,-103,0,103,0,0,0,,TOPPING CRUNCH C
21455,TOPPING CRUNCH G,Pastel Grande,9,0,0,0,-9,0,9,0,0,0,,TOPPING CRUNCH G
22145,TOPPING SNICKER M,Pastel Mediano,175,0,0,0,-175,0,175,0,0,0,,TOPPING SNICKER M
3345,Pastel de 3 Leches Individual,Individual,358,26850,358,26850,0,0,358,26850,0,0,Pastel 3 Leches - Individual,Pastel de 3 Leches Individual
